FilePath,Category,ClassName,LineNumber,Snippet
"D:\Descargas\MALPlus\MALClient.Android\DIalogs\AnimeDetailsPageDialogBuilder.cs",IMAGE_LOADING,AnimeDetailsPageDialogBuilder,85,"                        ImageService.Instance.LoadUrl(data.Thumb)"
"D:\Descargas\MALPlus\MALClient.Android\DIalogs\AddFriendDialog.cs",IMAGE_LOADING,AddFriendDialog,55,"            dialogView.FindViewById<ImageViewAsync>(Resource.Id.Image).Into(data.User.ImgUrl,new CircleTransformation());"
"D:\Descargas\MALPlus\MALClient.Android\ViewHolders\CommentViewHolder.cs",IMAGE_LOADING,CommentViewHolder,25,"        private ImageViewAsync _profilePageGeneralTabCommentItemUserImg;"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\AnimeItems\AnimeGridItem.cs",IMAGE_LOADING,AnimeGridItem,18,"    public class AnimeGridItem : UserControlBase<AnimeItemViewModel, FrameLayout>"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\AnimeItems\AnimeListItem.cs",IMAGE_LOADING,AnimeListItem,26,"    public class AnimeListItem : UserControlBase<AnimeItemViewModel, FrameLayout>"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\FavouriteItem.cs",IMAGE_LOADING,FavouriteItem,24,"    public class FavouriteItem : FrameLayout"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\ForumItems\ForumTopicItem.cs",IMAGE_LOADING,ForumTopicItem,17,"using FFImageLoading.Views;"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\ForumItems\ForumIndexItem.cs",IMAGE_LOADING,ForumIndexItem,14,"using FFImageLoading.Transformations;"
"D:\Descargas\MALPlus\MALClient.Android\Mediation\GenericAdBanner.cs",IMAGE_LOADING,GenericAdBanner,70,"                new ImageViewAsync(context)"
"D:\Descargas\MALPlus\MALClient.Android\Mediation\DakimakuriAdBanner.cs",IMAGE_LOADING,DakimakuriAdBanner,69,"                new ImageViewAsync(context)"
"D:\Descargas\MALPlus\MALClient.Android\Mediation\CuddlyOctopusAdBanner.cs",IMAGE_LOADING,CuddlyOctopusAdBanner,69,"                new ImageViewAsync(context)"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\WallpapersPageFragment.cs",IMAGE_LOADING,WallpapersPageFragment,149,"            var img = view.FindViewById<ImageViewAsync>(Resource.Id.WallpapersPageItemImage);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\SearchFragments\SearchPageFragment.cs",IMAGE_LOADING,SearchPageFragment,40,"            var img = v.FindViewById<FFImageLoading.Views.ImageViewAsync>(Resource.Id.SuggestionPosterImage);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\SearchFragments\SearchEverywherePageFragment.cs",IMAGE_LOADING,SearchEverywherePageFragment,151,"            private readonly ImageViewAsync _posterImage;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\SearchFragments\AnimeTypeSearchFragment.cs",IMAGE_LOADING,AnimeTypeSearchFragment,401,"        private readonly FFImageLoading.Views.ImageViewAsync _posterImage;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\SearchFragments\AnimeSearchPageFragment.cs",IMAGE_LOADING,AnimeSearchPageFragment,170,"            private readonly ImageViewAsync _posterImage;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\RecommendationsFragments\RecommendationItemFragment.cs",IMAGE_LOADING,RecommendationItemFragment,237,"        private ImageViewAsync _recommendationItemDepImage;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\PromoVideosPageFragment.cs",IMAGE_LOADING,PromoVideosPageFragment,95,"            var img = view.FindViewById<ImageViewAsync>(Resource.Id.PromoVideosPageItemImage);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\ProfilePageFragments\ProfilePageGeneralTabFragment.cs",IMAGE_LOADING,ProfilePageGeneralTabFragment,404,"            var img = (view as FrameLayout).FindViewById<ImageViewAsync>(Resource.Id.ProfilePageGeneralTabFriendItemImage);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\MorePageFragment.cs",IMAGE_LOADING,MorePageFragment,147,"            ImageService.Instance"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\MessagingFragments\MessagingDetailsPageFragment.cs",IMAGE_LOADING,MessagingDetailsPageFragment,137,"                var img = view.FindViewById<ImageViewAsync>(Resource.Id.MessagingDetailsPageItemImage);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\ListComparisonPageFragment.cs",IMAGE_LOADING,ListComparisonPageFragment,100,"            private ImageViewAsync _comparisonItemImage;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\HistoryFragments\HistoryPageTabFragment.cs",IMAGE_LOADING,HistoryPageTabFragment,82,"            var img = view.FindViewById<ImageViewAsync>(Resource.Id.AnimeLightItemImage);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\FriendsPageFragments\FriendsPageTabFragment.cs",IMAGE_LOADING,FriendsPageTabFragment,130,"            private ImageViewAsync _image;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\FriendsPageFragments\FriendsPageRequestsTabFragment.cs",IMAGE_LOADING,FriendsPageRequestsTabFragment,145,"            private ImageViewAsync _image;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\FriendsFeedsPageFragment.cs",IMAGE_LOADING,FriendsFeedsPageFragment,79,"                view.FindViewById<ImageViewAsync>(Resource.Id.FriendsFeedsPageItemImage).SetScaleType(ImageView.ScaleType.CenterCrop);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\ForumFragments\Tabs\ForumIndexPageFragmentRecentsTabFragment.cs",IMAGE_LOADING,ForumIndexPageFragmentRecentsTabFragment,94,"            view.FindViewById<ImageViewAsync>(Resource.Id.ForumIndexPageRecentPostItemImage).Into(forumPostEntry.ImgUrl,new CircleTransformation());"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\Clubs\ClubIndexTabFragmentBase.cs",IMAGE_LOADING,ClubIndexTabFragmentBase,123,"            private ImageViewAsync _image;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\Clubs\ClubDetailsPageRelationsTabFragment.cs",IMAGE_LOADING,ClubDetailsPageRelationsTabFragment,142,"            var img = view1.FindViewById<ImageViewAsync>(Resource.Id.AnimeLightItemImage);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\Clubs\ClubDetailsPageGeneralTabFragment.cs",IMAGE_LOADING,ClubDetailsPageGeneralTabFragment,180,"        private ImageViewAsync _image;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\DiscoverPageFragment.cs",IMAGE_LOADING,DiscoverPageFragment,464,"                    view.FindViewById<ImageViewAsync>(Resource.Id.ArticlesPageItemImage).Into(item.ImgUrl, null, null, 200);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\ArticlesPageFragments\ArticlesPageTabFragment.cs",IMAGE_LOADING,ArticlesPageTabFragment,80,"                    view.FindViewById<ImageViewAsync>(Resource.Id.ArticlesPageItemImage).SetScaleType(ImageView.ScaleType.Center);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\DetailsFragments\PersonDetailsPageVaTabFragment.cs",IMAGE_LOADING,PersonDetailsPageVaTabFragment,122,"            var image = view.FindViewById<ImageViewAsync>(Resource.Id.AnimeLightItemImage);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\DetailsFragments\PersonDetailsPageProdTabFragment.cs",IMAGE_LOADING,PersonDetailsPageProdTabFragment,99,"            var image = holder.ItemView.FindViewById<ImageViewAsync>(Resource.Id.AnimeLightItemImage);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\DetailsFragments\PersonDetailsPageFragment.cs",IMAGE_LOADING,PersonDetailsPageFragment,112,"        private ImageViewAsync _personDetailsPageImage;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\DetailsFragments\CharacterDetailsPageFragment.cs",IMAGE_LOADING,CharacterDetailsPageFragment,162,"            view.FindViewById<ImageViewAsync>(Resource.Id.AnimeLightItemImage).Into(animeLightEntry.ImgUrl);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\AnimeDetailsPageFragment.cs",IMAGE_LOADING,AnimeDetailsPageFragment,217,"                    AnimeDetailsPageBlurredBackground.Into(ViewModel.DetailImage, new BlurredTransformation(25));"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\AnimeDetailsPageFragment.ui.cs",IMAGE_LOADING,AnimeDetailsPageFragment.ui.cs,27,"        private ImageViewAsync _animeDetailsPageShowCoverImage;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\AnimeDetailsPageTabs\AnimeDetailsPageStaffTabFragment.cs",IMAGE_LOADING,AnimeDetailsPageStaffTabFragment,179,"            private ImageViewAsync _favouriteItemImage;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\AnimeDetailsPageTabs\AnimeDetailsPageReviewsTabFragment.cs",IMAGE_LOADING,AnimeDetailsPageReviewsTabFragment,274,"            private ImageViewAsync _avatarImage;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\AnimeDetailsPageTabs\AnimeDetailsPageRelatedTabFragment.cs",IMAGE_LOADING,AnimeDetailsPageRelatedTabFragment,195,"            private ImageViewAsync _image;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\AnimeDetailsPageTabs\AnimeDetailsPageRecomsTabFragment.cs",IMAGE_LOADING,AnimeDetailsPageRecomsTabFragment,255,"            private ImageViewAsync _image;"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\AnimeDetailsPageTabs\AnimeDetailsPageCharactersTabFragment.cs",IMAGE_LOADING,AnimeDetailsPageCharactersTabFragment,145,"        private void LoadCharacterImage(FFImageLoading.Views.ImageViewAsync image, string url)"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\SettingsFragments\SettingsAboutFragment.cs",IMAGE_LOADING,SettingsAboutFragment,53,"                    await ImageService.Instance.InvalidateCacheAsync(FFImageLoading.Cache.CacheType.All);"
"D:\Descargas\MALPlus\MALClient.Android\Fragments\Clubs\ClubDetailsPageCommentsTabFragment.cs",IMAGE_LOADING,ClubDetailsPageCommentsTabFragment,141,"            arg4.ProfilePageGeneralTabCommentItemUserImg.Into(arg3.User.ImgUrl);"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\ZoomableImageView.cs",CUSTOM_CONTROL,ZoomableImageView,23,"    public class ZoomableImageView : ImageViewAsync"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\FavouriteButton.cs",CUSTOM_CONTROL,FavouriteButton,22,"    public class FavouriteButton : FrameLayout"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\BBCodeEditor.cs",CUSTOM_CONTROL,BBCodeEditor,34,"    public class BBCodeEditor : LinearLayout"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\UserControlBase.cs",CUSTOM_CONTROL,UserControlBase,17,"    public abstract class UserControlBase<TViewModel,TViewRootType> : FrameLayout where TViewRootType : ViewGroup"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\PriorityListView.cs",LIST,PriorityListView,18,"    public class PriorityListView : ListView"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\LandscapeHelpers\HeightAdjustingListView.cs",LIST,HeightAdjustingListView,19,"    public class HeightAdjustingListView : ListView"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\LandscapeHelpers\HeightAdjustingGridView.cs",LIST,HeightAdjustingGridView,19,"    public class HeightAdjustingGridView : GridView"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\ExpandableGridView.cs",LIST,ExpandableGridView,17,"    public class ExpandableGridView : GridView"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\LandscapeHelpers\HeightAdjustingViewPager.cs",LIST,HeightAdjustingViewPager,10,"    public class HeightAdjustingViewPager : ViewPager"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\LandscapeHelpers\OrientationDependentScrollView.cs",OTHER,OrientationDependentScrollView,18,"    public class OrientationDependentScrollView : ScrollView"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\ToggleableScrollView.cs",OTHER,PriorityScrollView,21,"    public class PriorityScrollView : ScrollView"
"D:\Descargas\MALPlus\MALClient.Android\Web\InlineVideoWebViewClient.cs",WEBVIEW,InlineVideoWebViewClient,7,"    public class InlineVideoWebViewClient : WebViewClient"
"D:\Descargas\MALPlus\MALClient.Android.Adapters\ListenableWebClient.cs",WEBVIEW,ListenableWebClient,9,"    public class ListenableWebClient : WebViewClient"
"D:\Descargas\MALPlus\MALClient.Android\Utilities\Web\DataJavascriptInterface.cs",WEBVIEW,DataJavascriptInterface,1,"//JavascriptInterface bridge for WebView <-> ViewModel communication"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\PagerSlidingTabStrip.cs",IMAGE_EFFECT,PagerSlidingTabStrip,18,"    public class PagerSlidingTabStrip : HorizontalScrollView, ViewPager.IOnPageChangeListener, ViewTreeObserver.IOnGlobalLayoutListener"
"D:\Descargas\MALPlus\MALClient.Android\UserControls\PagerSlidingTabStrip.cs",IMAGE_EFFECT,PagerSlidingTabStrip.OnDraw,666,"        protected override void OnDraw(Canvas canvas)"
"D:\Descargas\MALPlus\MALClient.Android\AndroidBindings\PagerSlidingTabStrip\PagerSlidingTabStrip.cs",IMAGE_EFFECT,PagerSlidingTabStrip,19,"    public class PagerSlidingTabStrip : HorizontalScrollView, Android.Support.V4.View.ViewPager.IOnPageChangeListener, ViewTreeObserver.IOnGlobalLayoutListener"
"D:\Descargas\MALPlus\MALClient.Android\AndroidBindings\PagerSlidingTabStrip\PagerSlidingTabStrip.cs",IMAGE_EFFECT,PagerSlidingTabStrip.OnDraw,674,"        protected override void OnDraw(Canvas canvas)"
"D:\Descargas\MALPlus\MALClient.Android\Mediation\GenericAdBanner.cs",CUSTOM_CONTROL,GenericAdBanner,16,"using FFImageLoading; using FFImageLoading.Views;"
"D:\Descargas\MALPlus\MALClient.Android\Mediation\DakimakuriAdBanner.cs",CUSTOM_CONTROL,DakimakuriAdBanner,16,"using FFImageLoading; using FFImageLoading.Views;"
"D:\Descargas\MALPlus\MALClient.Android\Mediation\CuddlyOctopusAdBanner.cs",CUSTOM_CONTROL,CuddlyOctopusAdBanner,16,"using FFImageLoading; using FFImageLoading.Views;"
