FilePath,LineStart,Symbol,LineEnd,Snippet
MALClient.Android/Utilities/AndroidUtilities.cs,85,ANDROID_API,184,"MainActivity.CurrentContext.RunOnUiThread(() => ...);\n            var fragmentRootView = MainActivity.CurrentContext.MainPageRoot;\n            var inputManager = (InputMethodManager)MainActivity.CurrentContext.GetSystemService(Context.InputMethodService);"
MALClient.Android/Fragments/SearchFragments/AnimeTypeSearchFragment.cs,227,ANDROID_API,312,"var ctx = Activity ?? MainActivity.CurrentContext ?? global::Android.App.Application.Context;\n            ... (multiple usages with fallback to Android.App.Application.Context)"
MALClient.Android/UserControls/ForumItems/ForumTopicItem.cs,327,ANDROID_API,327,"MainActivity.CurrentContext.RunOnUiThread(() => ...);"
MALClient.Android/Fragments/MessagingFragments/MessagingPageFragment.cs,50,ANDROID_API,71,"MainActivity.CurrentContext.HamburgerOpened += CurrentContextOnHamburgerOpened;\n            MainActivity.CurrentContext.HamburgerOpened -= CurrentContextOnHamburgerOpened;"
MALClient.Android/Fragments/LogInPageFragment.cs,55,ANDROID_API,223,"MainActivity.CurrentContext.RequestedOrientation = ScreenOrientation.Portrait;\n            MainActivity.CurrentContext.RequestedOrientation = ScreenOrientation.Unspecified;"
MALClient.Android/AndroidViewModelLocator.cs,47,ANDROID_API,47,"SimpleIoc.Default.Register<IHamburgerViewModel>(() => MainActivity.CurrentContext as IHamburgerViewModel);"
MALClient.Android/BackgroundTasks/NotificationTaskManager.cs,66,ANDROID_API,93,"StartTask(task, MainActivity.CurrentContext);\n            var scheduler = (JobScheduler)MainActivity.CurrentContext.GetSystemService(Context.JobSchedulerService);\n            await new NotificationCheckBroadcastReceiver.CalendarTask(null, MainActivity.CurrentContext).RunUpdate();"
MALClient.Android/Dialogs/PinnedUsersDialog.cs,37,ANDROID_API,92,"var dialogBuilder = DialogPlus.NewDialog(MainActivity.CurrentContext);\n            MainActivity.CurrentContext.DialogToCollapseOnBack = _tagsDialog;\n            view = MainActivity.CurrentContext.LayoutInflater.Inflate(Resource.Layout.PinnedUsersDialogItem, null);\n            MainActivity.CurrentContext.DialogToCollapseOnBack = null;"
MALClient.Android/Dialogs/ChangelogDialog.cs,34,ANDROID_API,50,"var dialogBuilder = DialogPlus.NewDialog(MainActivity.CurrentContext);\n            var view = new TextView(MainActivity.CurrentContext);"
MALClient.Android/Dialogs/AnimeUpdateDialogBuilder.cs,28,ANDROID_API,320,"var dialogBuilder = DialogPlus.NewDialog(MainActivity.CurrentContext);\n            dialogBuilder.SetAdapter(new StatusDialogAdapter(MainActivity.CurrentContext, ...));\n            ... (multiple usages)"
MALClient.Android/Dialogs/AnimeDetailsPageDialogBuilder.cs,38,ANDROID_API,79,"var dialogBuilder = DialogPlus.NewDialog(MainActivity.CurrentContext);\n            MainActivity.CurrentContext.LayoutInflater.Inflate(...)"
MALClient.Android/UserControls/AnimeItems/AnimeListItem.cs,264,ANDROID_API,264,"_menu = AnimeItemFlyoutBuilder.BuildForAnimeItem(MainActivity.CurrentContext, AnimeListItemImgPlaceholder, null, ...);"
MALClient.Android/Fragments/ForumFragments/ForumTopicPageFragment.cs,192,ANDROID_API,192,"var view = MainActivity.CurrentContext.LayoutInflater.Inflate(Resource.Layout.PageIndicatorItem, null);"
MALClient.Android/BackgroundTasks/NotificationCheckBroadcastReceiver.cs,250,ANDROID_API,250,"if (Build.VERSION.SdkInt >= global::Android.OS.BuildVersionCodes.O)"
MALClient.Android/Widgets/CalendarWidgetUpdateService.cs,30,ANDROID_API,72,"[global::Android.Runtime.Preserve(AllMembers = true)] on multiple classes"
MALClient.Android/Widgets/CalendarWidgetRemoteViewsService.cs,20,ANDROID_API,24,"[global::Android.Runtime.Preserve(AllMembers = true)]"
MALClient.Android/Utilities/Includes.cs,24,ANDROID_API,24,"[global::Android.Runtime.Preserve(AllMembers = true)]"
MALClient.Android/UserControls/PagerSlidingTabStrip.cs,17,ANDROID_API,17,"[global::Android.Runtime.Preserve(AllMembers = true)]"
MALClient.Android/Mediation/GenericAdBanner.cs,23,ANDROID_API,23,"using PreserveAttribute = Android.Runtime.PreserveAttribute;"
MALClient.Android/Mediation/DakimakuriAdBanner.cs,23,ANDROID_API,23,"using PreserveAttribute = Android.Runtime.PreserveAttribute;"
MALClient.Android/Mediation/CuddlyOctopusAdBanner.cs,27,ANDROID_API,27,"[global::Android.Runtime.Preserve(AllMembers = true)]"
MALClient.Android/Fragments/SearchFragments/AnimeTypeSearchFragment.cs,312,ANDROID_API,312,"catch { return new TextView(global::Android.App.Application.Context) { Text = \"item\" }; }"
